,Brand,Model_Year,Model,Platform,Category,Sub_Cat,Stack,Reach,SR_ratio,TT_length,ST_length,ST_Angle,HT_length,HT_Angle,CS_length,BB_drop,BB_height,sizes.2.geometry.source.frontCenterMM,Wheelbase,Standover,Rake,Trail
4714,BMC,2017,trackmachine TR02,trackmachine,road,track,563.0,413.0,1.363,580.0,585.0,73.5,178.0,73.0,390.0,58.0,,616.0,999.0,807.0,43.0,58.0
4769,CUBE,2021,LITENING C:68X PRO,LITENING C:68X,road,race,542.0,389.0,1.393,550.0,500.0,73.5,125.0,73.0,410.0,69.0,,,980.0,779.0,,
4776,CUBE,2020,KATHMANDU HYBRID ONE 500,KATHMANDU HYBRID,road,touring,650.0,427.0,1.522,610.0,560.0,74.0,133.0,68.5,460.0,67.5,,,1165.0,866.0,,
4949,Giant,2021,Road E+ 2 Pro,Road E+,road,endurance,588.0,380.0,1.547,560.0,500.0,73.0,150.0,72.0,455.0,70.0,,,1051.0,773.0,50.0,62.9
5041,Specialized,2020,Sequoia Elite,Sequoia Elite,road,gravel,566.0,387.8,1.46,550.0,480.0,73.5,150.0,71.5,435.1,66.5,292.5,611.0,1037.0,772.0,50.0,67.0
5042,Specialized,2019,Sequoia,Sequoia,road,gravel,566.0,387.8,1.46,550.0,480.0,74.0,130.0,71.5,435.2,67.0,292.0,611.0,1037.0,772.0,50.0,67.0
5045,BMC,2019,CROSSMACHINE CX01 TWO,CROSSMACHINE CX01 TWO,road,cyclocross,550.0,386.0,1.425,549.0,535.0,73.5,148.0,72.5,425.0,62.0,,591.0,1008.0,796.0,45.0,63.0
5049,BMC,2018,Crossmachine CXA01 Rival,Crossmachine,road,cyclocross,559.0,369.0,1.515,540.0,540.0,73.0,140.0,71.5,425.0,68.0,,585.0,1000.0,786.0,45.0,66.0
5054,BMC,2017,crossmachine CXA01,crossmachine,road,cyclocross,559.0,369.0,1.515,540.0,540.0,73.0,140.0,71.5,425.0,68.0,,585.0,1000.0,786.0,45.0,66.0
5056,Scott,2017,CR1 20,CR1,road,endurance,545.0,379.0,1.438,530.0,520.0,74.5,136.0,73.0,405.0,67.0,272.0,,980.0,765.0,,
